Title,Rating,Votes,Duration
209. The Fire Inside,6.7, (3.2K),1h 49m
210. Little Big League,6.2, (12K),1h 59m
211. O.J.: Made in America,8.9, (23K),7h 47m
212. The Broken Hearts Club: A Romantic Comedy,6.9, (8.5K),1h 34m
213. Space Jam: A New Legacy,4.5, (85K),1h 55m
214. Grind,5.9, (14K),1h 45m
215. Uma Musume: Pretty Derby - Beginning of a New Era,7.4, (239),1h 48m
216. Ice Princess,6.1, (31K),1h 38m
218. Blue Crush,5.7, (34K),1h 44m
219. All the Right Moves,6.0, (22K),1h 31m
220. The Football Factory,6.7, (34K),1h 31m
221. The First Slam Dunk,8.0, (12K),2h 4m
222. Billy Lynn's Long Halftime Walk,6.2, (25K),1h 53m
223. Undisputed,6.1, (36K),1h 34m
224. We Are Storror,8.7, (60),1h 35m
225. Stick It,6.4, (32K),1h 43m
227. Like Mike,5.4, (24K),1h 39m
228. Supercross,4.4, (5K),1h 20m
229. Playing for Keeps,5.7, (32K),1h 45m
230. Victory,6.7, (35K),1h 56m
231. Fired Up!,6.1, (47K),1h 30m
232. Whip It,6.9, (72K),1h 51m
233. 14 Peaks: Nothing Is Impossible,7.7, (32K),1h 41m
234. The Black Stallion,7.4, (15K),1h 58m
235. Athlete A,7.6, (13K),1h 43m
236. Chasing Mavericks,7.1, (36K),1h 56m
237. Man on Wire,7.7, (60K),1h 34m
238. Air Bud,5.4, (21K),1h 38m
239. Tooth Fairy,5.1, (52K),1h 41m
240. Kill the Jockey,6.4, (2.1K),1h 36m
241. The Deepest Breath,7.7, (17K),1h 48m
242. Touching the Void,7.9, (39K),1h 46m
243. The Survivor,6.7, (6.9K),2h 9m
244. Wimbledon,6.3, (68K),1h 38m
245. The Wizard,6.1, (17K),1h 40m
246. Rad,6.7, (7.6K),1h 33m
247. The Big Green,5.5, (12K),1h 40m
248. Hands of Stone,6.6, (18K),1h 51m
249. The Triplets of Belleville,7.7, (59K),1h 20m
250. Meru,7.7, (20K),1h 30m
251. Rollerball,6.5, (31K),2h 5m
252. The Program,6.5, (12K),1h 52m
253. Out Cold,6.3, (19K),1h 29m
254. The Dawn Wall,8.1, (22K),1h 40m
255. Win Win,7.1, (56K),1h 46m
256. Fever Pitch,6.2, (49K),1h 44m
257. Goal! The Dream Begins,6.7, (68K),1h 58m
258. Glory Road,7.2, (50K),1h 58m
259. The Boxer,7.0, (23K),1h 53m
260. Seven Days in Utopia,6.2, (4.5K),1h 40m
261. Sweetwater,6.1, (1.5K),1h 58m
263. Yolo,6.9, (4K),2h 9m
264. Chak De! India,8.1, (88K),2h 33m
265. Queen of Katwe,7.4, (20K),2h 4m
266. The Rookie,6.9, (39K),2h 7m
267. Hoop Dreams,8.3, (29K),2h 50m
268. Eight Men Out,7.2, (23K),1h 59m
269. Gladiator,6.5, (11K),1h 41m
270. The Endless Summer,7.6, (6.7K),1h 35m
271. Somewhere in Queens,6.8, (6.1K),1h 46m
272. Greater,7.3, (9.6K),2h 10m
273. Hill,7.4, (297),1h 30m
274. Moon,6.8, (602),1h 32m
275. Chandu Champion,7.8, (35K),2h 22m
276. Run Fatboy Run,6.5, (71K),1h 40m
277. Student of the Year,5.3, (21K),2h 26m
279. The Power of One,7.1, (11K),2h 7m
280. Deep Water,7.8, (3.4K),1h 32m
281. Semi-Pro,5.8, (88K),1h 31m
