Title,Rating,Votes,Duration
272. The Friend,6.4, (3.9K),1h 59m
273. Sing,7.1, (205K),1h 48m
274. CODA,8.0, (181K),1h 51m
275. Police Academy,6.7, (145K),1h 36m
276. Angels Sing,6.0, (2.6K),1h 27m
277. Now You See Me 2,6.4, (343K),2h 9m
278. Holes,7.0, (107K),1h 57m
279. Fantastic Mr. Fox,7.9, (291K),1h 27m
280. Practical Magic,6.3, (102K),1h 44m
281. Beau Is Afraid,6.6, (74K),2h 59m
282. The Unbearable Weight of Massive Talent,7.0, (173K),1h 47m
"283. Monsters, Inc.",8.1, (1M),1h 32m
284. Inside Out,8.1, (880K),1h 35m
285. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3, (542K),1h 35m
286. Pixels,5.6, (173K),1h 45m
288. How to Lose a Guy in 10 Days,6.5, (304K),1h 56m
289. American Made,7.1, (224K),1h 55m
290. Beetlejuice,7.5, (407K),1h 32m
291. The Longest Yard,6.4, (205K),1h 53m
292. The Other Guys,6.7, (302K),1h 47m
293. Bridget Jones: Mad About the Boy,6.6, (27K),2h 4m
294. Get Away,5.3, (8.6K),1h 26m
295. Charlie and the Chocolate Factory,6.7, (556K),1h 55m
296. The Family Plan,6.3, (55K),1h 58m
297. Punch-Drunk Love,7.3, (188K),1h 35m
298. Back to the Future Part II,7.8, (604K),1h 48m
299. Men in Black³,6.8, (403K),1h 46m
300. Kick-Ass,7.6, (612K),1h 57m
