Title,Rating,Votes,Duration
428. The Green Inferno,5.4, (53K),1h 40m
429. Luca,7.4, (214K),1h 35m
430. The Lord of the Rings: The War of the Rohirrim,6.3, (35K),2h 14m
431. The Adam Project,6.7, (249K),1h 46m
432. X-Men: Apocalypse,6.8, (483K),2h 24m
433. Maleficent,6.9, (417K),1h 37m
434. Shrek 2,7.4, (538K),1h 33m
435. Chef,7.3, (245K),1h 54m
436. Robots,6.4, (170K),1h 31m
437. The Predator,5.3, (156K),1h 47m
438. Red One,6.3, (144K),2h 3m
439. The Dukes of Hazzard,5.1, (84K),1h 44m
440. Enola Holmes,6.6, (236K),2h 3m
441. The Prince of Egypt,7.2, (157K),1h 39m
442. Labyrinth,7.3, (159K),1h 41m
443. Deliverance,7.6, (126K),1h 49m
444. Kingsman: The Golden Circle,6.7, (391K),2h 21m
445. Mulan,7.7, (336K),1h 27m
446. Rebel Moon - Part One: A Child of Fire,5.6, (137K),2h 13m
447. Isle of Dogs,7.8, (203K),1h 41m
448. Brave,7.1, (466K),1h 33m
449. Ivanhoe,6.7, (11K),1h 46m
450. Wreck-It Ralph,7.7, (484K),1h 41m
